slug,state_name,state_code,state_slug,city_name,city_slug,title,subtitle,excerpt,metaTitle,metaDescription,metaKeywords,ogTitle,ogDescription,ogImage,avg_premium,min_coverage,bodily_per_person,bodily_per_accident,property_damage,uninsured_rate,top_insurer,top_insurer_market_share,second_insurer,third_insurer,last_updated,is_no_fault_state,pip_required,dmv_registration_required,state_laws_summary,status,isPublished,showAds
auto-insurance/california,California,CA,california,,,Auto Insurance in California (2024 Guide),Find the best car insurance rates in CA,California drivers pay an average of $1500/year for auto insurance. Compare rates from top insurers and save.,Auto Insurance California | Compare Rates & Save (2024),Find affordable auto insurance in California. Compare quotes from top-rated insurers. Average rates $1500/year. Get your free quote today.,"auto insurance california,car insurance ca,cheap auto insurance,california car insurance rates,best auto insurance california",Auto Insurance in California - Compare & Save,Find the best auto insurance rates in California. Compare quotes from top insurers.,https://myinsurancebuddies.com/images/california-auto-insurance.jpg,$1500/year,15/30/5,15000,30000,5000,12%,State Farm,14.2%,GEICO,Progressive,2024-01-15,false,false,true,California follows a tort system requiring minimum liability coverage of 15/30/5,PUBLISHED,true,true
auto-insurance/california/los-angeles,California,CA,california,Los Angeles,los-angeles,Auto Insurance in Los Angeles CA (2024),Find the best car insurance rates in LA,Los Angeles drivers pay higher premiums due to traffic density. Average rates are $1850/year.,Auto Insurance Los Angeles CA | Compare LA Rates (2024),Find affordable auto insurance in Los Angeles. Compare quotes from top insurers. LA average $1850/year due to traffic. Get your free quote today.,"auto insurance los angeles,car insurance LA,los angeles auto insurance rates",Auto Insurance Los Angeles - Compare Rates,Find affordable auto insurance in LA. Average $1850/year.,https://myinsurancebuddies.com/images/los-angeles-auto.jpg,$1850/year,15/30/5,15000,30000,5000,15%,State Farm,14.2%,GEICO,Progressive,2024-01-15,false,false,true,California follows a tort system requiring minimum liability coverage of 15/30/5,PUBLISHED,true,true
auto-insurance/texas,Texas,TX,texas,,,Auto Insurance in Texas (2024 Guide),Find the best car insurance rates in TX,Texas requires higher minimum coverage than most states. Average rates are $1400/year.,Auto Insurance Texas | Compare TX Rates & Save (2024),Find affordable auto insurance in Texas. Compare quotes from top-rated insurers. Average rates $1400/year. Higher minimum coverage required.,"auto insurance texas,car insurance tx,texas auto insurance rates",Auto Insurance Texas - Compare Rates,Find affordable auto insurance in TX. Average $1400/year.,https://myinsurancebuddies.com/images/texas-auto-insurance.jpg,$1400/year,30/60/25,30000,60000,25000,8%,GEICO,12.5%,State Farm,Progressive,2024-01-15,false,false,true,Texas requires higher minimum liability than most states at 30/60/25,PUBLISHED,true,true
auto-insurance/texas/houston,Texas,TX,texas,Houston,houston,Auto Insurance in Houston TX (2024),Find the best car insurance rates in Houston,Houston drivers face unique challenges including traffic congestion and weather risks. Average $1550/year.,Auto Insurance Houston TX | Compare Houston Rates,Find affordable auto insurance in Houston. Compare quotes from top insurers. Houston average $1550/year. Get your free quote.,"auto insurance houston,car insurance houston,houston auto insurance",Auto Insurance Houston - Compare Rates,Find affordable auto insurance in Houston TX.,https://myinsurancebuddies.com/images/houston-auto.jpg,$1550/year,30/60/25,30000,60000,25000,11%,GEICO,12.5%,State Farm,Progressive,2024-01-15,false,false,true,Texas requires higher minimum liability than most states at 30/60/25,PUBLISHED,true,true
auto-insurance/florida,Florida,FL,florida,,,Auto Insurance in Florida (2024 Guide),Find the best car insurance rates in FL,Florida has high auto insurance rates due to uninsured drivers and weather risks. Average $1800/year.,Auto Insurance Florida | Compare FL Rates & Save (2024),Find affordable auto insurance in Florida. Compare quotes from top insurers. FL average $1800/year. High uninsured driver rate.,"auto insurance florida,car insurance fl,florida auto insurance rates",Auto Insurance Florida - Compare Rates,Find auto insurance in FL. Average $1800/year.,https://myinsurancebuddies.com/images/florida-auto-insurance.jpg,$1800/year,10/20/10,10000,20000,10000,20%,Progressive,15.2%,GEICO,State Farm,2024-01-15,false,false,true,Florida has low minimum requirements but high uninsured driver rate,PUBLISHED,true,true
auto-insurance/new-york,New York,NY,new-york,,,Auto Insurance in New York (2024 Guide),Find the best car insurance rates in NY,New York is a no-fault state with higher minimum coverage. Average $1600/year.,Auto Insurance New York | Compare NY Rates & Save (2024),Find affordable auto insurance in New York. Compare quotes from top insurers. NY average $1600/year. No-fault state.,"auto insurance new york,car insurance ny,new york auto insurance",Auto Insurance New York - Compare Rates,Find auto insurance in NY. Average $1600/year.,https://myinsurancebuddies.com/images/new-york-auto.jpg,$1600/year,25/50/10,25000,50000,10000,5%,Allstate,11.8%,GEICO,State Farm,2024-01-15,true,true,true,New York is a no-fault state requiring Personal Injury Protection,PUBLISHED,true,true
auto-insurance/illinois,Illinois,IL,illinois,Chicago,chicago,Auto Insurance in Chicago IL (2024),Find the best car insurance rates in Chicago,Chicago drivers pay close to state average rates. Average $1200/year.,Auto Insurance Chicago IL | Compare Chicago Rates,Find affordable auto insurance in Chicago. Compare quotes from top insurers. Chicago average $1200/year. Get your free quote.,"auto insurance chicago,car insurance chicago,chicago auto insurance",Auto Insurance Chicago - Compare Rates,Find affordable auto insurance in Chicago IL.,https://myinsurancebuddies.com/images/chicago-auto.jpg,$1200/year,25/50/20,25000,50000,20000,11%,State Farm,13.5%,Allstate,Progressive,2024-01-15,false,false,true,Illinois requires minimum liability of 25/50/20,PUBLISHED,true,true
auto-insurance/pennsylvania,Pennsylvania,PA,pennsylvania,Philadelphia,philadelphia,Auto Insurance in Philadelphia PA (2024),Find the best car insurance rates in Philadelphia,Philadelphia drivers face higher rates due to urban density. Average $1450/year.,Auto Insurance Philadelphia PA | Compare Philly Rates,Find affordable auto insurance in Philadelphia. Compare quotes from top insurers. Philly average $1450/year.,"auto insurance philadelphia,car insurance philadelphia,philadelphia auto insurance",Auto Insurance Philadelphia - Compare Rates,Find auto insurance in Philadelphia PA.,https://myinsurancebuddies.com/images/philadelphia-auto.jpg,$1450/year,15/30/5,15000,30000,5000,7%,State Farm,12.8%,Erie Insurance,GEICO,2024-01-15,false,false,true,Pennsylvania requires minimum liability of 15/30/5,PUBLISHED,true,true
auto-insurance/ohio,Ohio,OH,ohio,Columbus,columbus,Auto Insurance in Columbus OH (2024),Find the best car insurance rates in Columbus,Columbus has lower than average rates. Average $950/year.,Auto Insurance Columbus OH | Compare Columbus Rates,Find affordable auto insurance in Columbus. Compare quotes from top insurers. Columbus average $950/year. Lower rates than national average.,"auto insurance columbus,car insurance columbus,columbus auto insurance",Auto Insurance Columbus - Compare Rates,Find affordable auto insurance in Columbus OH.,https://myinsurancebuddies.com/images/columbus-auto.jpg,$950/year,25/50/25,25000,50000,25000,9%,State Farm,14.1%,Progressive,Buckeye Insurance,2024-01-15,false,false,true,Ohio requires minimum liability of 25/50/25,PUBLISHED,true,true
auto-insurance/georgia,Georgia,GA,georgia,Atlanta,atlanta,Auto Insurance in Atlanta GA (2024),Find the best car insurance rates in Atlanta,Atlanta drivers face higher rates due to traffic. Average $1350/year.,Auto Insurance Atlanta GA | Compare Atlanta Rates,Find affordable auto insurance in Atlanta. Compare quotes from top insurers. Atlanta average $1350/year. Heavy traffic affects rates.,"auto insurance atlanta,car insurance atlanta,atlanta auto insurance",Auto Insurance Atlanta - Compare Rates,Find auto insurance in Atlanta GA.,https://myinsurancebuddies.com/images/atlanta-auto.jpg,$1350/year,25/50/25,25000,50000,25000,12%,State Farm,15.2%,GEICO,Allstate,2024-01-15,false,false,true,Georgia requires minimum liability of 25/50/25,PUBLISHED,true,true
auto-insurance/north-carolina,North Carolina,NC,north-carolina,Charlotte,charlotte,Auto Insurance in Charlotte NC (2024),Find the best car insurance rates in Charlotte,Charlotte has competitive rates. Average $1050/year.,Auto Insurance Charlotte NC | Compare Charlotte Rates,Find affordable auto insurance in Charlotte. Compare quotes from top insurers. Charlotte average $1050/year. Competitive rates.,"auto insurance charlotte,car insurance charlotte,charlotte auto insurance",Auto Insurance Charlotte - Compare Rates,Find auto insurance in Charlotte NC.,https://myinsurancebuddies.com/images/charlotte-auto.jpg,$1050/year,30/60/25,30000,60000,25000,7%,State Farm,16.8%,GEICO,North Carolina Farm Bureau,2024-01-15,false,false,true,North Carolina requires minimum liability of 30/60/25,PUBLISHED,true,true
auto-insurance/michigan,Michigan,MI,michigan,Detroit,detroit,Auto Insurance in Detroit MI (2024),Find the best car insurance rates in Detroit,Detroit has high rates due to insurance laws. Average $2200/year.,Auto Insurance Detroit MI | Compare Detroit Rates,Find affordable auto insurance in Detroit. Compare quotes from top insurers. Detroit average $2200/year. High rates due to no-fault laws.,"auto insurance detroit,car insurance detroit,detroit auto insurance",Auto Insurance Detroit - Compare Rates,Find auto insurance in Detroit MI.,https://myinsurancebuddies.com/images/detroit-auto.jpg,$2200/year,50/100/10,50000,100000,10000,20%,State Farm,18.2%,Auto-Owners,Progressive,2024-01-15,true,true,true,Michigan is a no-fault state with highest minimum requirements,PUBLISHED,true,true
auto-insurance/arizona,Arizona,AZ,arizona,Phoenix,phoenix,Auto Insurance in Phoenix AZ (2024),Find the best car insurance rates in Phoenix,Phoenix has moderate rates. Average $1150/year.,Auto Insurance Phoenix AZ | Compare Phoenix Rates,Find affordable auto insurance in Phoenix. Compare quotes from top insurers. Phoenix average $1150/year. Get your free quote.,"auto insurance phoenix,car insurance phoenix,phoenix auto insurance",Auto Insurance Phoenix - Compare Rates,Find auto insurance in Phoenix AZ.,https://myinsurancebuddies.com/images/phoenix-auto.jpg,$1150/year,25/50/15,25000,50000,15000,12%,State Farm,14.5%,Progressive,GEICO,2024-01-15,false,false,true,Arizona requires minimum liability of 25/50/15,PUBLISHED,true,true
auto-insurance/washington,Washington,WA,washington,Seattle,seattle,Auto Insurance in Seattle WA (2024),Find the best car insurance rates in Seattle,Seattle rates are slightly above average. Average $1300/year.,Auto Insurance Seattle WA | Compare Seattle Rates,Find affordable auto insurance in Seattle. Compare quotes from top insurers. Seattle average $1300/year. Slightly above average rates.,"auto insurance seattle,car insurance seattle,seattle auto insurance",Auto Insurance Seattle - Compare Rates,Find auto insurance in Seattle WA.,https://myinsurancebuddies.com/images/seattle-auto.jpg,$1300/year,25/50/10,25000,50000,10000,18%,PEMCO,11.2%,State Farm,GEICO,2024-01-15,false,false,true,Washington requires minimum liability of 25/50/10,PUBLISHED,true,true
auto-insurance/virginia,Virginia,VA,virginia,Virginia Beach,virginia-beach,Auto Insurance in Virginia Beach VA (2024),Find the best car insurance rates in Virginia Beach,Virginia Beach has lower than average rates. Average $980/year.,Auto Insurance Virginia Beach VA | Compare Rates,Find affordable auto insurance in Virginia Beach. Compare quotes from top insurers. Average $980/year. Lower rates than national average.,"auto insurance virginia beach,car insurance virginia beach,virginia beach auto insurance",Auto Insurance Virginia Beach - Compare Rates,Find auto insurance in Virginia Beach VA.,https://myinsurancebuddies.com/images/virginia-beach-auto.jpg,$980/year,25/50/20,25000,50000,20000,10%,State Farm,15.8%,GEICO,Erie Insurance,2024-01-15,false,false,true,Virginia requires minimum liability of 25/50/20 or uninsured motorist fee,PUBLISHED,true,true
